FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.125000000,0.000046004,0.000000000,0.000854701
0.176192619,0.000824516,0.000000000,0.002643172
0.227385239,0.000832077,0.000000000,0.002643172
0.278577858,0.000832077,0.000000000,0.002643172
0.329770477,0.000832077,0.000000000,0.002643172
0.380963096,0.000832077,0.000000000,0.002643172
0.432155716,0.000832077,0.000000000,0.002643172
0.483348335,0.000851464,0.000000000,0.003162055
0.534540954,0.001126407,0.000000000,0.003502627
0.585733573,0.001624999,0.000000000,0.004244482
0.636926193,0.001680336,0.000000000,0.004258944
0.688118812,0.001680336,0.000000000,0.004258944
0.739311431,0.001680336,0.000000000,0.004258944
0.790504050,0.001680336,0.000000000,0.004258944
0.841696670,0.001680336,0.000000000,0.004258944
0.892889289,0.001680336,0.000000000,0.004258944
0.944081908,0.001680336,0.000000000,0.004258944
0.995274527,0.001682849,0.000000000,0.004258944
1.046467147,0.001737312,0.000000000,0.004332756
1.097659766,0.002034772,0.000000000,0.005286343
1.148852385,0.002422566,0.000000000,0.005766063
1.200045005,0.002510327,0.000000000,0.005838199
1.251237624,0.002512817,0.000000000,0.005838199
1.302430243,0.002512817,0.000000000,0.005838199
1.353622862,0.002512817,0.000000000,0.005838199
1.404815482,0.002512817,0.000000000,0.005838199
1.456008101,0.002512817,0.000000000,0.005838199
1.507200720,0.002521249,0.000000000,0.005838199
1.558393339,0.002627500,0.000000000,0.006003431
1.609585959,0.002952738,0.000000000,0.006644518
1.660778578,0.003253392,0.000781250,0.007060900
1.711971197,0.003349229,0.000802568,0.007060900
1.763163816,0.003355854,0.000802568,0.007060900
1.814356436,0.003377850,0.000802568,0.007060900
1.865549055,0.003523810,0.000815661,0.007200720
1.916741674,0.003865893,0.000834028,0.007867821
1.967934293,0.004111784,0.000857633,0.007987221
2.019126913,0.004195900,0.000861326,0.008130081
2.070319532,0.004204152,0.000861326,0.008130081
2.121512151,0.004204152,0.000861326,0.008130081
2.172704770,0.004204152,0.000861326,0.008130081
2.223897390,0.004204152,0.000861326,0.008130081
2.275090009,0.004209199,0.000861326,0.008130081
2.326282628,0.004228445,0.000861326,0.008130081
2.377475248,0.004334756,0.000874126,0.008389262
2.428667867,0.004593944,0.000914077,0.008986929
2.479860486,0.004867217,0.001605136,0.009228188
2.531053105,0.004995301,0.001652893,0.009329940
2.582245725,0.005049078,0.001666667,0.009361702
2.633438344,0.005055801,0.001666667,0.009361702
2.684630963,0.005055801,0.001666667,0.009361702
2.735823582,0.005055801,0.001666667,0.009361702
2.787016202,0.005055801,0.001666667,0.009361702
2.838208821,0.005055801,0.001666667,0.009361702
2.889401440,0.005055801,0.001666667,0.009361702
2.940594059,0.005055801,0.001666667,0.009361702
2.991786679,0.005055801,0.001666667,0.009361702
3.042979298,0.005055801,0.001666667,0.009361702
3.094171917,0.005055801,0.001666667,0.009361702
3.145364536,0.005055801,0.001666667,0.009361702
3.196557156,0.005056608,0.001666667,0.009361702
3.247749775,0.005058283,0.001666667,0.009361702
3.298942394,0.005070865,0.001668057,0.009361702
3.350135014,0.005112175,0.001672241,0.009540330
3.401327633,0.005241608,0.001686341,0.009724474
3.452520252,0.005537824,0.001709402,0.010335918
3.503712871,0.005932304,0.001759015,0.011182109
3.554905491,0.006434157,0.002407705,0.011608624
3.606098110,0.006950617,0.002572899,0.012458472
3.657290729,0.007300997,0.002700270,0.012975778
3.708483348,0.007483660,0.003249391,0.012975778
3.759675968,0.007568298,0.003294893,0.013071896
3.810868587,0.007588638,0.003330558,0.013071896
3.862061206,0.007596213,0.003330558,0.013071896
3.913253825,0.007611251,0.003330558,0.013071896
